,1,retrived_at,province_id,city,state,country,pollution_aqi,polution_main,weather_tp,weather_pr,weather_hu,weather_ws,weather_wd
50,52,5/1/2023 1:18:33,TH-16,Ban Mi,Lop Buri,Thailand,72,p2,28,1008,65,1.41,195
51,53,5/1/2023 1:19:04,TH-20,Na Kluea,Chon Buri,Thailand,95,p2,26,1008,74,0.51,193
52,54,5/1/2023 1:19:35,TH-21,Ban Khai,Rayong,Thailand,97,p2,28,1008,83,0.45,50
53,55,5/1/2023 1:20:06,TH-50,Chiang Mai,Chiang Mai,Thailand,82,p2,24,1010,83,3.6,130
54,56,5/1/2023 1:20:37,TH-52,Hang Chat,Lampang,Thailand,76,p2,23,1009,87,1.16,13
55,57,5/1/2023 2:15:27,TH-10,Phra Nakhon,Bangkok,Thailand,72,p2,28,1007,46,1.07,126
56,58,5/1/2023 2:15:58,TH-11,Bang Phli,Samut Prakan,Thailand,69,p2,27,1008,78,1.54,150
57,59,5/1/2023 2:16:29,TH-12,Mueang Nonthaburi,Nonthaburi,Thailand,80,p2,28,1009,68,0.0,0
58,60,5/1/2023 2:16:59,TH-13,Khlong Luang,Pathum Thani,Thailand,78,p2,27,1008,93,0.0,0
59,61,5/1/2023 2:17:30,TH-14,Ayutthaya,Phra Nakhon Si Ayutthaya,Thailand,116,p2,26,1007,70,1.27,157
60,62,5/1/2023 2:18:01,TH-15,Ban Phraek,Phra Nakhon Si Ayutthaya,Thailand,110,p2,26,1007,68,0.87,200
61,63,5/1/2023 2:18:31,TH-16,Ban Mi,Lop Buri,Thailand,72,p2,28,1007,66,1.06,226
62,64,5/1/2023 2:19:02,TH-20,Na Kluea,Chon Buri,Thailand,89,p2,26,1007,76,0.6,137
63,65,5/1/2023 2:19:33,TH-21,Ban Khai,Rayong,Thailand,91,p2,28,1007,85,1.04,37
64,66,5/1/2023 2:20:04,TH-50,Chiang Mai,Chiang Mai,Thailand,84,p2,24,1010,83,2.06,180
65,67,5/1/2023 2:20:34,TH-52,Hang Chat,Lampang,Thailand,86,p2,23,1009,86,0.8,32
